threshold,accuracy,f1,precision,recall
0.56,0.8305235137533274,0.7894156560088202,0.8564593301435407,0.7321063394683026
0.565,0.8287488908606921,0.7867403314917127,0.8557692307692307,0.7280163599182005
0.57,0.8287488908606921,0.7867403314917127,0.8557692307692307,0.7280163599182005
0.575,0.8305235137533274,0.7884828349944629,0.8599033816425121,0.7280163599182005
0.58,0.831410825199645,0.7893569844789357,0.8619854721549637,0.7280163599182005
0.585,0.831410825199645,0.7893569844789357,0.8619854721549637,0.7280163599182005
0.59,0.8305235137533274,0.7880133185349611,0.8616504854368932,0.7259713701431493
0.595,0.8322981366459627,0.7897664071190211,0.8658536585365854,0.7259713701431493
0.6,0.8331854480922803,0.7906458797327395,0.8679706601466992,0.7259713701431493
0.605,0.834072759538598,0.7915273132664437,0.8700980392156863,0.7259713701431493
0.61,0.834072759538598,0.7915273132664437,0.8700980392156863,0.7259713701431493
0.615,0.8331854480922803,0.7901785714285714,0.8697788697788698,0.7239263803680982
0.62,0.8331854480922803,0.7901785714285714,0.8697788697788698,0.7239263803680982
0.625,0.8322981366459627,0.788826815642458,0.8694581280788177,0.721881390593047
0.63,0.8322981366459627,0.788826815642458,0.8694581280788177,0.721881390593047
0.635,0.8322981366459627,0.788826815642458,0.8694581280788177,0.721881390593047
0.64,0.8322981366459627,0.788826815642458,0.8694581280788177,0.721881390593047
0.645,0.8322981366459627,0.7883538633818589,0.8712871287128713,0.7198364008179959
0.65,0.834072759538598,0.7901234567901234,0.8756218905472637,0.7198364008179959
0.655,0.834072759538598,0.7901234567901234,0.8756218905472637,0.7198364008179959
0.66,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.665,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.67,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.675,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.68,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.685,0.8331854480922803,0.7887640449438202,0.8753117206982544,0.7177914110429447
0.69,0.834072759538598,0.7896512935883014,0.8775,0.7177914110429447
0.695,0.834072759538598,0.7896512935883014,0.8775,0.7177914110429447
