threshold,accuracy,f1,precision,recall
0.525,0.7941437444543035,0.7339449541284404,0.835509138381201,0.65439672801636
0.53,0.7950310559006211,0.7341772151898734,0.8394736842105263,0.6523517382413088
0.535,0.7950310559006211,0.7323290845886443,0.8449197860962567,0.6462167689161554
0.54,0.7950310559006211,0.7298245614035088,0.8524590163934426,0.6380368098159509
0.545,0.7976929902395741,0.7323943661971831,0.859504132231405,0.6380368098159509
0.55,0.7976929902395741,0.7304964539007093,0.865546218487395,0.6319018404907976
0.555,0.7950310559006211,0.7253269916765755,0.8664772727272727,0.623721881390593
0.56,0.7968056787932565,0.725748502994012,0.8757225433526011,0.6196319018404908
0.565,0.7950310559006211,0.7226890756302521,0.875,0.6155419222903885
0.57,0.7932564330079858,0.7196149217809867,0.8742690058479532,0.6114519427402862
0.575,0.7914818101153505,0.7165259348612787,0.8735294117647059,0.6073619631901841
0.58,0.7897071872227152,0.713422007255139,0.8727810650887574,0.6032719836400818
0.585,0.7897071872227152,0.7120291616038882,0.8772455089820359,0.5991820040899796
0.59,0.7897071872227152,0.7099143206854345,0.8841463414634146,0.5930470347648262
0.595,0.7879325643300799,0.7067484662576687,0.8834355828220859,0.588957055214724
0.6,0.7843833185448092,0.7003699136868065,0.8819875776397516,0.5807770961145194
0.605,0.7834960070984915,0.698019801980198,0.8840125391849529,0.5766871165644172
0.61,0.7817213842058562,0.6932668329177057,0.8881789137380192,0.5685071574642127
0.615,0.7808340727595386,0.6900878293601004,0.8928571428571429,0.5623721881390593
0.62,0.7799467613132209,0.6884422110552764,0.8925081433224755,0.5603271983640081
0.625,0.7799467613132209,0.6876574307304786,0.8950819672131147,0.558282208588957
0.63,0.7790594498669032,0.6860025220680959,0.8947368421052632,0.556237218813906
0.635,0.7808340727595386,0.6877370417193426,0.9006622516556292,0.556237218813906
0.64,0.7799467613132209,0.6828644501278772,0.9112627986348123,0.5460122699386503
0.645,0.7799467613132209,0.6812339331619537,0.916955017301038,0.5419222903885481
0.65,0.7790594498669032,0.6787096774193548,0.9195804195804196,0.5378323108384458
0.655,0.7772848269742679,0.6752910737386805,0.9190140845070423,0.5337423312883436
0.66,0.774622892635315,0.6701298701298701,0.9181494661921709,0.5276073619631901
0.665,0.771960958296362,0.6649282920469362,0.9172661870503597,0.5214723926380368
0.67,0.769299023957409,0.6596858638743456,0.9163636363636364,0.5153374233128835
0.675,0.7684117125110914,0.657030223390276,0.9191176470588235,0.5112474437627812
0.68,0.769299023957409,0.6578947368421053,0.922509225092251,0.5112474437627812
0.685,0.7701863354037267,0.6578599735799208,0.9291044776119403,0.50920245398773
0.69,0.7684117125110914,0.6524633821571239,0.9351145038167938,0.5010224948875256
0.695,0.7675244010647737,0.6497326203208557,0.9382239382239382,0.49693251533742333
0.7,0.7648624667258208,0.6442953020134228,0.9375,0.49079754601226994
0.705,0.7622005323868678,0.6388140161725068,0.9367588932806324,0.48466257668711654
